"","ID","DemAffl","DemAge","DemClusterGroup","DemGender","DemReg","DemTVReg","PromClass","PromSpend","PromTime","TargetBuy"
"1",140,10,76,"C","U","Midlands","Wales & West","Gold",16000,4,0
"2",620,4,49,"D","U","Midlands","Wales & West","Gold",6000,5,0
"3",868,5,70,"D","F","Midlands","Wales & West","Silver",0.02,8,1
"4",1120,10,65,"F","M","Midlands","Midlands","Tin",0.01,7,1
"5",2313,11,68,"A","F","Midlands","Midlands","Tin",0.01,8,0
"6",2771,9,72,"D","U","North","N West","Platinum",20759.81,3,0
"7",3131,11,74,"A","F","Midlands","East","Tin",0.01,8,0
"8",3328,13,62,"D","M","North","N East","Tin",0.01,5,0
"9",4529,10,62,"F","M","Midlands","East","Silver",2038.76,3,0
"10",5886,14,43,"F","F","missing","missing","Gold",6000,1,1
"11",7420,7,60,"F","F","North","N East","Gold",11000,2,0
"12",9814,5,NA,"C","M","South East","London","Silver",5000,1,1
"13",10006,9,51,"F","F","Midlands","Midlands","Silver",300,11,0
"14",10219,6,64,"C","F","South East","S & S East","Tin",0.01,9,0
"15",10812,16,37,"C","F","South East","London","Tin",0.01,4,1
"16",11207,8,54,"D","M","Midlands","Midlands","Silver",1420,1,0
"17",11932,5,70,"B","F","Midlands","Midlands","Gold",6104.66,8,0
"18",14656,NA,42,"C","F","Midlands","East","Tin",0.01,5,1
"19",15350,7,NA,"E","F","Scottish","C Scotland","Tin",0.01,5,1
"20",17302,7,49,"D","missing","South East","London","Tin",0.01,7,0
"21",19496,9,66,"F","F","Midlands","Midlands","Silver",500,12,0
"22",19763,9,74,"B","F","Midlands","Wales & West","Gold",6000,2,0
"23",20478,6,70,"E","missing","Midlands","East","Gold",16000,2,0
"24",20761,7,66,"D","M","South East","S & S East","Silver",1000,5,0
"25",23124,6,46,"D","F","South East","London","Tin",0.01,8,0
"26",24554,10,39,"missing","M","Midlands","Ulster","Tin",0.01,5,0
"27",24880,7,75,"B","M","Midlands","East","Silver",4000,7,0
"28",26387,NA,72,"missing","F","Midlands","Ulster","Silver",1250,23,1
"29",27715,7,43,"F","M","North","N West","Tin",0.01,5,1
"30",29173,7,62,"C","F","Midlands","Wales & West","Gold",20000,4,0
"31",29440,8,37,"B","M","South West","S West","Silver",1000,9,1
"32",30600,9,49,"F","F","South East","London","Tin",0.01,8,0
"33",30937,8,79,"D","missing","North","N East","Gold",6000,1,0
"34",39330,NA,NA,"F","M","Midlands","East","Tin",0.01,4,0
"35",41092,3,50,"D","F","Midlands","East","Gold",9800,3,0
"36",41475,NA,66,"D","M","South East","London","Tin",0.01,11,0
"37",42439,15,35,"C","F","Midlands","Wales & West","Silver",1630,5,1
"38",45799,10,71,"B","F","Midlands","Wales & West","Silver",1500,5,0
"39",46906,7,44,"F","F","North","N West","Silver",1000,1,0
"40",50237,8,42,"B","M","North","N East","Tin",0.01,5,0
"41",51950,9,68,"B","F","South West","S West","Gold",6053.25,5,1
"42",54496,9,31,"D","F","North","Yorkshire","Tin",0.01,4,0
"43",56073,8,70,"B","F","South East","London","Gold",19053.82,15,0
"44",57002,7,72,"E","F","North","N East","Platinum",20526.96,3,0
"45",57622,12,41,"missing","M","Midlands","East","Tin",0.01,9,0
"46",59056,9,37,"F","F","North","N East","Gold",6000,1,1
"47",59862,8,58,"C","F","North","N West","Gold",10053.35,7,0
"48",63002,7,47,"D","F","South East","London","Silver",0.02,5,0
"49",63983,8,71,"E","M","Midlands","East","Silver",1000,6,0
"50",71986,8,62,"D","F","Midlands","Midlands","Silver",1000,5,1
"51",72559,15,72,"E","U","Midlands","Midlands","Gold",6340.26,12,0
"52",73148,8,39,"E","F","Midlands","Midlands","Silver",2241.36,4,1
"53",75205,6,76,"D","M","Midlands","Wales & West","Gold",12000,19,0
"54",75469,7,61,"B","F","Scottish","Border","Gold",6000,11,1
"55",80322,6,53,"D","missing","Midlands","Midlands","Tin",0.01,5,0
"56",80608,8,60,"C","M","North","Yorkshire","Silver",60,11,1
"57",82678,15,42,"F","F","South East","London","Tin",0.01,5,1
